total,pde,data,ic,bc,amplitude,lr
0.04329892247915268,966945.625,0.0004214869113638997,0.0010908498661592603,0.0011628451757133007,0.002338856691494584,0.001
0.043562475591897964,978755.3125,0.00042425477295182645,0.0011016716016456485,0.0011246723588556051,0.002382767153903842,0.001
0.04253804683685303,882588.1875,0.00041399800102226436,0.0010837014997377992,0.0011442155810073018,0.0024288382846862078,0.001
0.04151071235537529,971738.5625,0.0004039365448988974,0.0010642851702868938,0.0011206453200429678,0.0024596177972853184,0.001
0.0405404232442379,981006.9375,0.0003941379254683852,0.0011050181929022074,0.0010994893964380026,0.0024377398658543825,0.001
0.04078887030482292,965728.6875,0.0003962858463637531,0.0010971574811264873,0.0011763620423153043,0.0023526607546955347,0.001
0.04144981876015663,945826.0625,0.0004035716992802918,0.0010491716675460339,0.0010873648570850492,0.0024380655959248543,0.001
0.040983330458402634,895577.25,0.00039852416375651956,0.0011046116705983877,0.001108988537453115,0.0024114709813147783,0.001
0.041485171765089035,902856.625,0.00040364640881307423,0.0010382592445239425,0.001154633122496307,0.002408280735835433,0.001
0.04166674613952637,975857.0,0.0004057960759382695,0.0010448464890941978,0.0010802368633449078,0.002459788229316473,0.001
0.0409037247300148,993195.4375,0.0003981873451266438,0.0010498641058802605,0.001071878126822412,0.002411995083093643,0.001
0.0384950116276741,942646.4375,0.00037447502836585045,0.00098694721236825,0.0010601099347695708,0.0023976971860975027,0.001
0.03927737474441528,981839.1875,0.00038228972698561847,0.0009958551963791251,0.0010519984643906355,0.0024474021047353745,0.001
0.0387667641043663,924786.0625,0.0003767636662814766,0.0010588953737169504,0.0010735635878518224,0.0024167466908693314,0.001
0.03854542225599289,864825.75,0.0003747113805729896,0.00100787915289402,0.0010935049504041672,0.0023593769874423742,0.001
0.03788324072957039,953076.75,0.0003683058894239366,0.0010100023355334997,0.001047142781317234,0.002407928928732872,0.001
0.038545187562704086,970333.0,0.00037484834319911897,0.0010596103966236115,0.0010127720888704062,0.0024157362058758736,0.001
0.03731849417090416,856714.8125,0.0003629820712376386,0.000996767426840961,0.0009965412318706512,0.0023628545459359884,0.001
0.03707699477672577,942674.4375,0.0003604062367230654,0.0010454466100782156,0.0009786655427888036,0.0024318017531186342,0.001
0.036788273602724075,845467.625,0.0003580430056899786,0.000910505885258317,0.0010087393457069993,0.0024347438011318445,0.001
0.038064125925302505,907286.0,0.00037061807233840227,0.0009505081106908619,0.0010056915925815701,0.002421715995296836,0.001
0.03509405255317688,851282.0625,0.00034117474569939077,0.000926510663703084,0.000979532371275127,0.002355394884943962,0.001
0.0361458994448185,927585.875,0.0003519372548907995,0.000939803256187588,0.0009177316096611321,0.0023404709063470364,0.001
0.03640490397810936,929505.0,0.0003540887264534831,0.0009574968134984374,0.0009861532598733902,0.00242070690728724,0.001
0.035267699509859085,851641.0,0.0003434864629525691,0.0008533110376447439,0.0009372408967465162,0.0023778544273227453,0.001
0.035152703523635864,900135.25,0.00034175149630755186,0.0009188534459099174,0.0009885014733299613,0.0023878172505646944,0.001
0.035031598061323166,956413.375,0.00034066717489622533,0.0008988059707917273,0.000983110279776156,0.002391861518844962,0.001
0.0351400151848793,889494.4375,0.00034159148344770074,0.0009460608125664294,0.0009672308224253356,0.002421849872916937,0.001
0.035812586545944214,858684.1875,0.0003483887412585318,0.0009350237669423223,0.000965417770203203,0.002349009271711111,0.001
0.034881360828876495,856306.1875,0.0003392698126845062,0.0008968740585260093,0.0009636397589929402,0.0024122376926243305,0.001
0.03505251556634903,904333.375,0.00034117838367819786,0.0008761209901422262,0.0009455736726522446,0.0023827101103961468,0.001
0.03409506008028984,887542.9375,0.0003314184141345322,0.0009410084458068013,0.0009176488383673131,0.0023891564924269915,0.001
0.03398563340306282,891497.8125,0.0003305946884211153,0.0008409814327023923,0.000962107558734715,0.0024618012830615044,0.001
0.03333413228392601,902606.1875,0.0003237627388443798,0.0008993236697278917,0.000967720930930227,0.002433572430163622,0.001
0.03379546105861664,862774.25,0.00032868265407159925,0.0008541602874174714,0.0009519971208646894,0.002411860041320324,0.001
0.03338025510311127,889724.75,0.0003248237771913409,0.0008720334735698998,0.000876042409799993,0.0023842407390475273,0.001
0.03394680097699165,863873.0,0.0003304039710201323,0.0008209623629227281,0.0009441251750104129,0.002386033069342375,0.001
0.03471602499485016,875891.4375,0.0003379194822628051,0.0008546651806682348,0.0009457613923586905,0.0023863743990659714,0.001
0.03205496817827225,855698.6875,0.00031158325145952404,0.0008273354615084827,0.0009176636813208461,0.002414510352537036,0.001
0.03213362395763397,870710.8125,0.00031248395680449903,0.0008211252279579639,0.0009023646707646549,0.002348336623981595,0.001
0.033461179584264755,855726.6875,0.00032568033202551305,0.0008139369310811162,0.0009243756649084389,0.0023988604079931974,0.001
0.032169751822948456,887803.625,0.00031280345865525305,0.0008590513025410473,0.0008731338893994689,0.002331433119252324,0.001
